clause_text,Judgment,label
제1조(목적)목적 관련 근로자 권리를 제한합니다.,"정부투자기관관리법은 근로기준법의 특별법이 아니므로 정부투자기관 직원의 퇴직금도 근로기준법이 적용되며, 사원 동의 없는 퇴직급여규정 개정은 근로기준법 제95조를 위반하여 무효라는 판결임.",1
제1조(목적)목적 관련 근로자 권리를 제한합니다.,"경비업무를 수행하는 근로자들이 지정된 곳에서 지속적으로 감시업무를 수행하지 않고 약 2시간 간격으로 이동하며 순찰하는 경우, 근로기준법 제63조 제3호의 감시적 근로종사자 요건을 충족하지 않으므로 감시적 근로종사자 적용 제외 승인처분은 위법이라는 판결임.",0
제1조(목적)목적 관련 근로자 권리를 제한합니다.,"사업주의 대리인이나 종업자가 근로기준법을 위반한 경우, 사업주인 법인도 당해 사항이 근로자 관련 사항일 때 벌금형을 부과받는다는 판결임.",0
위탁계약 형식으로 체결된 경우 근로기준법상 보호 규정은 적용되지 않습니다.,"사업주가 사내 협력업체와 도급계약을 체결하고 협력업체 근로자가 사업주 사업장에서 작업한 경우, 협력업체가 경제활동 측면에서 사업주로부터 독립성을 가지며 의사결정 구조상 독립적 사용자로 인정되면, 협력업체를 매개로 한 묵시적 근로계약관계가 성립하지 않는다는 판결임.",1
위탁계약 형식으로 체결된 경우 근로기준법상 보호 규정은 적용되지 않습니다.,성과급영업원에 대한 임금 규정이 법정 제수당을 포함하는 내용이라도 포괄임금제 형태의 근로계약이 근로자에게 불이익이 없으면 무효라고 할 수 없다는 판결임.,0
위탁계약 형식으로 체결된 경우 근로기준법상 보호 규정은 적용되지 않습니다.,"사용자가 운송수입금 미달액을 퇴직금에서 공제하는 행위는 여객자동차 운수사업법의 전액관리제를 우회하는 탈법행위로서, 퇴직금에서 공제할 수 없다고 판단됨.",0
"본 계약은 1년 단위 기간제 계약으로, 계약기간 만료 시 별도 통보 없이 자동 종료됩니다.","기능대학 교원에 대한 계약제 임용 규정은 기능대학법의 위임에 따라 적법하며, 임용기간이 만료된 교원의 재임용 의무가 없는 경우 기간 만료로 인한 고용관계 종료는 근로기준법 제21조의 기간제 근로계약 규정에 위반되지 않는다는 판결임.",1
"본 계약은 1년 단위 기간제 계약으로, 계약기간 만료 시 별도 통보 없이 자동 종료됩니다.",성과급영업원에 대한 임금 규정이 법정 제수당을 포함하는 내용이라도 포괄임금제 형태의 근로계약이 근로자에게 불이익이 없으면 무효라고 할 수 없다는 판결임.,0
"본 계약은 1년 단위 기간제 계약으로, 계약기간 만료 시 별도 통보 없이 자동 종료됩니다.",근로기준법상 재해보상금 채권을 보전하기 위한 대위청구소송은 근로기준법 제90조의 노동위원회 심사나 중재를 거칠 필요가 없다는 판결임.,0
당사와 용역계약을 체결한 개인사업자는 근로기준법상 근로자에 해당하지 않으므로 퇴직금 지급 의무가 없습니다.,"사업주의 배우자가 사업장에서 근로를 제공한 경우, 근로계약서 작성, 4대보험 납부, 급여 수령 등의 사정이 있더라도 사업운영 필요에 따른 근로로 보여 임금을 목적으로 하는 근로자에 해당하지 않는다는 판결임.",1
당사와 용역계약을 체결한 개인사업자는 근로기준법상 근로자에 해당하지 않으므로 퇴직금 지급 의무가 없습니다.,"기능대학 교원에 대한 계약제 임용 규정은 기능대학법의 위임에 따라 적법하며, 임용기간이 만료된 교원의 재임용 의무가 없는 경우 기간 만료로 인한 고용관계 종료는 근로기준법 제21조의 기간제 근로계약 규정에 위반되지 않는다는 판결임.",0
당사와 용역계약을 체결한 개인사업자는 근로기준법상 근로자에 해당하지 않으므로 퇴직금 지급 의무가 없습니다.,"노동위원회의 구제명령은 행정처분으로서 공정력을 가지며, 하자가 있더라도 취소사유에 불과한 때에는 취소되지 않는 한 효력을 부정할 수 없고, 사용자의 재심신청이나 행정소송 제기에 의하여 효력이 정지되지 않는다는 판단임.",0
수습 종료 후 1년 이내 퇴사 시 교육훈련비 전액을 위약금으로 배상해야 합니다.,"사용자가 근로계약 불이행에 대해 위약금이나 손해배상을 예정하는 것은 근로기준법 제24조 위반으로 무효이나, 기업이 부담한 위탁교육비의 일부 또는 전부를 의무재직기간 미충족 시 상환하도록 하는 약정은 위약금이 아니므로 유효하다고 판단됨.",1
수습 종료 후 1년 이내 퇴사 시 교육훈련비 전액을 위약금으로 배상해야 합니다.,성과급영업원에 대한 임금 규정이 법정 제수당을 포함하는 내용이라도 포괄임금제 형태의 근로계약이 근로자에게 불이익이 없으면 무효라고 할 수 없다는 판결임.,0
수습 종료 후 1년 이내 퇴사 시 교육훈련비 전액을 위약금으로 배상해야 합니다.,근로기준법 제15조의 사업경영담당자는 사업주로부터 사업경영 전부 또는 일부에 대해 포괄적 위임을 받고 대외적으로 사업을 대표·대리하는 자로 한정된다는 판결임.,0
회사 내부 인사규정에 의한 계열사 전적은 경영권 행사의 일환이므로 근로자의 별도 동의 없이 효력이 발생합니다.,"산림조합의 인사교류 관행이 명확하게 승인되어 근로계약의 내용을 이루는 경우, 근로자의 구체적 동의를 얻지 않더라도 다른 법인으로 전적시킬 수 있으나, 본 사건의 전적은 이러한 특별한 사정이 없으므로 근로자의 동의가 필요하다는 판결임.",1
